date,confirmed_cases
2018-01-01,2
2018-01-08,7
2018-01-15,4
2018-01-22,11
2018-01-29,21
2018-02-05,29
2018-02-12,57
2018-02-19,72
2018-02-26,127
2018-03-05,124
2018-03-12,173
2018-03-19,179
2018-03-26,273
2018-04-02,332
2018-04-09,346
2018-04-16,390
2018-04-23,392
2018-04-30,498
2018-05-07,440
2018-05-14,358
2018-05-21,394
2018-05-28,456
2018-06-04,393
2018-06-11,399
2018-06-18,304
2018-06-25,214
2018-07-02,150
2018-07-09,103
2018-07-16,76
2018-07-23,45
2018-07-30,49
2018-08-06,42
2018-08-13,33
2018-08-20,16
2018-08-27,22
2018-09-03,16
2018-09-10,10
2018-09-17,11
2018-09-24,17
2018-10-01,9
2018-10-08,7
2018-10-15,7
2018-10-22,6
2018-10-29,7
2018-11-05,10
2018-11-12,5
2018-11-19,4
2018-11-26,12
2018-12-03,15
2018-12-10,9
2018-12-17,23
2018-12-24,47
2018-12-31,42
2019-01-07,72
2019-01-14,109
2019-01-21,111
2019-01-28,182
2019-02-04,235
2019-02-11,226
2019-02-18,256
2019-02-25,488
2019-03-04,659
2019-03-11,798
2019-03-18,919
2019-03-25,1227
2019-04-01,1368
2019-04-08,1433
2019-04-15,1547
2019-04-22,1397
2019-04-29,1238
2019-05-06,1145
2019-05-13,1084
2019-05-20,837
2019-05-27,601
2019-06-03,421
2019-06-10,342
2019-06-17,173
2019-06-24,152
2019-07-01,108
2019-07-08,99
2019-07-15,67
2019-07-22,50
2019-07-29,49
